District,Literacy
Baleshwar,nan
Balangir,16.676015899999999
Jharsuguda,16.23241376
Puri,13.142338000000001
Kalahandi,12.99994006
Bargarh,12.159392049999999
Mayurbhanj,11.1802995
Kendrapara,10.97162468
Baudh,10.613050660000001
Khordha,10.555660680000001
Subarnapur,9.9530401899999994
Nayagarh,9.3092882669999995
Koraput,9.1466221349999994
Jajapur,8.9507407620000006
Ganjam,8.8326443749999992
Jagatsinghapur,8.3338243569999992
Cuttack,8.1706195360000002
Gajapati,7.4153970610000002
Dhenkanal,7.1002169549999996
Sambalpur,6.8572291759999997
Nuapada,6.771688267
Nabarangapur,6.6123455470000003
Kandhamal,6.2697710779999998
Sundargarh,5.7467147279999997
Bhadrak,5.2116204169999998
Rayagada,2.1920672410000002
Anugul,1.3382978750000001
Malkangiri,1.085748237
Kendujhar,-0.049125267
Debagarh,-1.8641259320000001
