Districts,Literacy
Ganjam,71.09%
Cuttack,85.50%
Mayurbhanj,63.17%
Baleshwar,79.79%
Khordha,86.88%
Sundargarh,73.34%
Jajapur,80.13%
Kendujhar,68.24%
Puri,84.67%
Balangir,64.72%
Kalahandi,59.22%
Bhadrak,82.78%
Bargarh,74.62%
Kendrapara,85.15%
Koraput,49.21%
Anugul,77.53%
Nabarangapur,46.43%
Dhenkanal,78.76%
Jagatsinghapur,86.59%
Sambalpur,76.22%
Rayagada,49.76%
Nayagarh,80.42%
Kandhamal,64.13%
Malkangiri,48.54%
Nuapada,57.35%
Subarnapur,74.42%
Jharsuguda,78.86%
Gajapati,53.49%
Baudh,71.61%
Debagarh,72.57%
