Village Name,Tab No,,,,,,,,,
paidurpadu,96,,,,,,,,,
paidurpadu,99,,,,,,,,,
paidurpadu,106,,,,,,,,,
paidurpadu,103,,,,,,,,,
paidurpadu,97,,,,,,,,,
Jakkampudi,93,,,,,,,,,
Jakkampudi,94,,,,,,,,,
Jakkampudi,95,,,,,,,,,
Jakkampudi,96,,,,,,,,,
Jakkampudi,97,,,,,,,,,
Jakkampudi,98,,,,,,,,,
Jakkampudi,99,,,,,,,,,
Jakkampudi,100,,,,,,,,,
Jakkampudi,101,,,,,,,,,
Jakkampudi,102,,,,,,,,,
Jakkampudi,104,,,,,,,,,
Jakkampudi,105,,,,,,,,,
Jakkampudi,106,,,,,,,,,
Rayanipadu,101,,,,,,,,,
Rayanipadu,104,,,,,,,,,
Rayanipadu,102,,,,,,,,,s
Rayanipadu,100,,,,,,,,,
Rayanipadu,105,,,,,,,,,
Rayanipadu,93,,,,,,,,,
Kottur tadepalli,93,,,,,,,,,
Kottur tadepalli,94,,,,,,,,,
Kottur tadepalli,95,,,,,,,,,
Kottur tadepalli,96,,,,,,,,,
Kottur tadepalli,97,,,,,,,,,
Kottur tadepalli,98,,,,,,,,,
Kottur tadepalli,99,,,,,,,,,
Kottur tadepalli,100,,,,,,,,,
Kottur tadepalli,101,,,,,,,,,
Kottur tadepalli,102,,,,,,,,,
Kottur tadepalli,104,,,,,,,,,
Kottur tadepalli,105,,,,,,,,,
Kottur tadepalli,106,,,,,,,,,
Ganapavaram,359,,,,,,,,,
Ganapavaram,379,,,,,,,,,
Ganapavaram,363,,,,,,,,,
Ganapavaram,375,,,,,,,,,
Ganapavaram,362,,,,,,,,,
Ganapavaram,380,,,,,,,,,
Ganapavaram,354,,,,,,,,,
Ganapavaram,373,,,,,,,,,
Ganapavaram,377,,,,,,,,,
Ganapavaram,370,,,,,,,,,
Tholukodu,351,,,,,,,,,
Tholukodu,353,,,,,,,,,
Tholukodu,355,,,,,,,,,
Tholukodu,360,,,,,,,,,
Tholukodu,361,,,,,,,,,
Tholukodu,364,,,,,,,,,
Tholukodu,368,,,,,,,,,
Tholukodu,371,,,,,,,,,
Tholukodu,376,,,,,,,,,
Velvadam,351,,,,,,,,,
Velvadam,353,,,,,,,,,
Velvadam,355,,,,,,,,,
Velvadam,360,,,,,,,,,
Velvadam,361,,,,,,,,,
Velvadam,364,,,,,,,,,
Velvadam,368,,,,,,,,,
Velvadam,371,,,,,,,,,
Velvadam,376,,,,,,,,,
Chandrala,359,,,,,,,,,
Chandrala,379,,,,,,,,,
Chandrala,363,,,,,,,,,
Chandrala,375,,,,,,,,,
Chandrala,362,,,,,,,,,
Chandrala,380,,,,,,,,,
Chandrala,354,,,,,,,,,
Chandrala,373,,,,,,,,,
Chandrala,377,,,,,,,,,
Chandrala,370,,,,,,,,,
k.r.gudem,351,,,,,,,,,
k.r.gudem,353,,,,,,,,,
k.r.gudem,355,,,,,,,,,
k.r.gudem,360,,,,,,,,,
k.r.gudem,361,,,,,,,,,
k.r.gudem,364,,,,,,,,,
k.r.gudem,368,,,,,,,,,
k.r.gudem,371,,,,,,,,,
k.r.gudem,376,,,,,,,,,
pullur,351,,,,,,,,,
pullur,353,,,,,,,,,
pullur,355,,,,,,,,,
pullur,360,,,,,,,,,
pullur,361,,,,,,,,,
pullur,364,,,,,,,,,
pullur,368,,,,,,,,,
pullur,371,,,,,,,,,
pullur,376,,,,,,,,,
pullur,357,,,,,,,,,
pullur,275,,,,,,,,,
pullur,358,,,,,,,,,
pullur,378,,,,,,,,,
pullur,274,,,,,,,,,
pullur,365,,,,,,,,,
pullur,367,,,,,,,,,
pullur,352,,,,,,,,,
pullur,374,,,,,,,,,
pullur,263,,,,,,,,,
Pondugala,357,,,,,,,,,
Pondugala,275,,,,,,,,,
Pondugala,358,,,,,,,,,
Pondugala,378,,,,,,,,,
Pondugala,274,,,,,,,,,
Pondugala,365,,,,,,,,,
Pondugala,367,,,,,,,,,
Pondugala,352,,,,,,,,,
Pondugala,374,,,,,,,,,
Pondugala,263,,,,,,,,,
Chandragudem,359,,,,,,,,,
Chandragudem,379,,,,,,,,,
Chandragudem,363,,,,,,,,,
Chandragudem,375,,,,,,,,,
Chandragudem,362,,,,,,,,,
Chandragudem,380,,,,,,,,,
Chandragudem,354,,,,,,,,,
Chandragudem,373,,,,,,,,,
Chandragudem,377,,,,,,,,,
Chandragudem,370,,,,,,,,,
Morsumalli,357,,,,,,,,,
Morsumalli,275,,,,,,,,,
Morsumalli,358,,,,,,,,,
Morsumalli,378,,,,,,,,,
Morsumalli,274,,,,,,,,,
Morsumalli,365,,,,,,,,,
Morsumalli,367,,,,,,,,,
Morsumalli,352,,,,,,,,,
Morsumalli,374,,,,,,,,,
Morsumalli,263,,,,,,,,,
mylavaram,359,,,,,,,,,
mylavaram,379,,,,,,,,,
mylavaram,363,,,,,,,,,
mylavaram,375,,,,,,,,,
mylavaram,362,,,,,,,,,
mylavaram,380,,,,,,,,,
mylavaram,354,,,,,,,,,
mylavaram,373,,,,,,,,,
mylavaram,377,,,,,,,,,
mylavaram,370,,,,,,,,,
mylavaram,351,,,,,,,,,
mylavaram,353,,,,,,,,,
mylavaram,355,,,,,,,,,
mylavaram,360,,,,,,,,,
mylavaram,361,,,,,,,,,
mylavaram,364,,,,,,,,,
mylavaram,368,,,,,,,,,
mylavaram,371,,,,,,,,,
mylavaram,376,,,,,,,,,
mylavaram,357,,,,,,,,,
mylavaram,275,,,,,,,,,
mylavaram,358,,,,,,,,,
mylavaram,378,,,,,,,,,
mylavaram,274,,,,,,,,,
mylavaram,365,,,,,,,,,
mylavaram,367,,,,,,,,,
mylavaram,352,,,,,,,,,
mylavaram,374,,,,,,,,,
mylavaram,263,,,,,,,,,
Patha naguluru,262,,,,,,,,,
Patha naguluru,265,,,,,,,,,
Patha naguluru,271,,,,,,,,,
Patha naguluru,277,,,,,,,,,
Patha naguluru,287,,,,,,,,,
Patha naguluru,290,,,,,,,,,
Moddulaparva,264,,,,,,,,,
Moddulaparva,268,,,,,,,,,
Moddulaparva,272,,,,,,,,,
Moddulaparva,276,,,,,,,,,
Moddulaparva,366,,,,,,,,,
Moddulaparva,369,,,,,,,,,
